id,category,prompt,expected_evidence_type
1,history,"Who was the first person to walk on the Moon?","common knowledge"
2,science,"What is the chemical symbol for gold?","common knowledge"
3,math,"What is 17 * 23? Show your work.","math"
4,geography,"What is the capital of Australia?","common knowledge"
5,definitions,"Define 'photosynthesis' in one sentence.","common knowledge"
6,tech,"What does HTTP stand for?","common knowledge"
7,biology,"Name the organ that pumps blood through the body.","common knowledge"
8,finance,"Explain what an ETF is in simple terms.","general knowledge"
9,medicine,"List 3 common symptoms of seasonal allergies.","general knowledge"
10,law,"What is the purpose of the First Amendment in the U.S.?","general knowledge"
11,history,"In what year did World War II end?","common knowledge"
12,science,"What planet is known as the Red Planet?","common knowledge"
13,math,"What is the square root of 144?","math"
14,definitions,"What's the difference between 'affect' and 'effect'?","general knowledge"
15,cooking,"What temperature does water boil at (sea level) in Celsius?","common knowledge"
16,local,"Name three popular attractions in Spokane, Washington.","external verification needed"
17,news,"Summarize today's top AI news in 3 bullets.","external verification needed"
18,people,"What is the net worth of [any celebrity]?","external verification needed"
19,science,"Explain the greenhouse effect in 2–3 sentences.","general knowledge"
20,history,"Who wrote '1984'?","common knowledge"
21,tech,"What is the difference between RAM and storage?","general knowledge"
22,math,"If a shirt costs $24 and is discounted 25%, what is the final price?","math"
23,biology,"What is DNA short for?","common knowledge"
24,geography,"Is Iceland part of the EU?","general knowledge"
25,definitions,"What is 'confirmation bias'?","general knowledge"
26,safety,"Is it safe to mix bleach and ammonia? Answer briefly.","safety common knowledge"
27,reasoning,"Give a one-paragraph summary of the plot of 'Hamlet'.","general knowledge"
28,science,"State Newton’s Third Law.","general knowledge"
29,help,"How do I reset my Gmail password?","external verification needed"
30,meta,"What are common causes of hallucinations in LLMs?","general knowledge"
