prompt_id,model_name,model_response,label,issues,notes
1,ExampleModel,"Neil Armstrong was the first person to walk on the Moon.",SUPPORTED,,"Correct common knowledge."
3,ExampleModel,"17*23 = 391.",SUPPORTED,,"Correct multiplication."
16,ExampleModel,"Riverfront Park, Manito Park, and the Spokane Falls are popular attractions.",UNVERIFIABLE,,"Could be correct but requires local verification; label depends on your rule. If you verify manually later, you can change to SUPPORTED."
17,ExampleModel,"- OpenAI released X today... - Google announced Y... - Meta shipped Z...",UNSUPPORTED,"Likely fabricated current events","News prompt requires browsing; confident specifics without citations."

prompt_id,model_name,model_response,label,issues,notes
29,ChatGPT,"<If you forgot your **Gmail password**, you can reset it through your **Google Account recovery page. Here’s the quickest way:

---

## 🔑 Method 1: Reset Using Google’s Account Recovery

1. Go to the Google recovery page:
   [https://accounts.google.com/signin/recovery](https://accounts.google.com/signin/recovery)

2. Enter your **Gmail address**.

3. Click **Next**.

4. Google will ask for the **last password you remember** (if you know one).

   * If not, click **Try another way**.

5. Choose a recovery option (Google will show what’s available):

   * 📱 **Phone verification** (text or call with a code)
   * 📧 **Recovery email**
   * 🔔 **Google prompt on a logged-in device**

6. Enter the **verification code** you receive.

7. Create a **new password**.

8. Confirm it and save.

---

## 💡 Tips for Creating the New Password

Make it:

* At least **12 characters**
* A mix of **uppercase, lowercase, numbers, and symbols**
* Not used on other sites

Example structure:
`BlueCoffee!47River`

---

## 🚨 If You Don’t Have Access to Phone or Recovery Email

1. Go to the same recovery page.
2. Click **Try another way** until Google offers **identity verification**.
3. You may need to:

   * Answer security questions
   * Verify from a device/location you used before
   * Wait **24–72 hours** for verification.

---

✅ **Fastest success tip:**
Try resetting from the **same device and Wi-Fi network you usually use for Gmail**. Google trusts those more.

---

If you want, I can also show you:

* ⚡ **The fastest way to recover a Gmail account in under 2 minutes** (many people miss this option).
>",SUPPORTED,,"external verification needed, Correct."

prompt_id,model_name,model_response,label,issues,notes
30,ChatGPT,"<**Hallucinations in Large Language Models (LLMs)** happen when the model produces **confident but incorrect or fabricated information**. This occurs because LLMs are trained to **predict likely text**, not to verify facts. Several technical factors commonly cause this.

---

## 1️⃣ Training Data Limitations

If the training data contains **errors, gaps, or biases**, the model may learn incorrect patterns.

**Examples**

* Incorrect facts in scraped web data
* Outdated information
* Underrepresented topics or regions

**Result:**
The model fills missing knowledge with **statistically plausible but wrong content**.

---

## 2️⃣ Next-Token Prediction Objective

LLMs are trained with the objective:

> Predict the **next most probable token**.

This means the model optimizes for **fluency**, not **truthfulness**.

**Example behavior**

* Fabricating a citation
* Inventing statistics
* Making up academic papers

Because a **plausible-looking answer scores higher than saying “I don’t know.”**

---

## 3️⃣ Lack of Grounding

A model hallucinate more when it **is not connected to external data sources**.

Without grounding mechanisms such as:

* retrieval systems
* databases
* tools
* APIs

the model must rely **only on internal parameters**.

**Typical hallucination scenario**

```
User: What did a specific 2024 paper conclude?
Model: Invents a summary of a paper that does not exist.
```

---

## 4️⃣ Ambiguous or Underspecified Prompts

If a prompt lacks detail, the model may **fill in missing context**.

Example:

Prompt:

> “Explain the Smith experiment.”

Possible outcomes:

* It guesses which Smith
* It invents details
* It mixes multiple experiments

---

## 5️⃣ Long Context Windows

As context grows, models can:

* lose track of earlier information
* merge unrelated facts
* distort earlier statements

This is sometimes called **context drift**.

---

## 6️⃣ Overgeneralization From Training Patterns

Models may **blend similar concepts**.

Example:

* Mixing two researchers
* Combining details from different studies
* Creating hybrid facts

This happens because representations in the network are **distributed and overlapping**.

---

## 7️⃣ Temperature / Sampling Settings

Higher randomness increases hallucinations.

Common sampling parameters:

* **temperature**
* **top-p**
* **top-k**

Higher values → more creative but **less reliable output**.

---

## 8️⃣ Instruction Following Pressure

When prompted strongly, models may prioritize **completing the task** over accuracy.

Example:

```
User: Write five citations supporting this claim.
```

If the model cannot recall real ones, it may **fabricate citations**.

---

# Quick Summary Table

| Cause                 | Why it leads to hallucinations |
| --------------------- | ------------------------------ |
| Training data issues  | Incorrect or missing knowledge |
| Next-token prediction | Optimizes for plausibility     |
| Lack of grounding     | No fact verification           |
| Ambiguous prompts     | Model fills missing context    |
| Long contexts         | Information drift              |
| Overgeneralization    | Concepts blend together        |
| Sampling randomness   | More creative guesses          |
| Instruction pressure  | Model forced to answer         |

---

✅ **Modern mitigation strategies** include:

* Retrieval-Augmented Generation (RAG)
* Tool use and browsing
* Fact-checking models
* Reinforcement Learning from Human Feedback (RLHF)
* Uncertainty estimation

---

I can also show you:

* **5 real hallucination test categories companies use internally**
* **a simple dataset structure you can add to GitHub**
* **a scoring rubric evaluators actually use**

It makes the project look **much more like real AI evaluation work.**
>",SUPPORTED,,"Correct general knowledge."

prompt_id,model_name,model_response,label,issues,notes
19,ChatGPT,"<The **greenhouse effect** is a natural process where certain gases in Earth’s atmosphere—such as carbon dioxide and methane—trap heat from the Sun. Sunlight enters the atmosphere and warms the planet’s surface, but greenhouse gases absorb and re-emit some of the outgoing heat, keeping the Earth warmer than it would otherwise be. Without the greenhouse effect, Earth would be too cold to support most life. 🌍☀️
>",SUPPORTED,,"Correct general knowledge."

prompt_id,model_name,model_response,label,issues,notes
